id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36665773,Joli Duplex au Cœur de Saint Pierre,15234128,Marina,Bordeaux,Centre ville (Bordeaux),44.84074,-0.56929,Entire home/apt,132,2,24,2020-09-28,1.85,4,344
36665926,T2 de charme à 7' du centre de BORDEAUX,66239160,Dominique,Talence,Talence,44.81086,-0.5749,Private room,69,2,3,2019-12-26,0.16,1,0
36666575,"Chambre dans belle maison, proche du centre ville.",46402483,Lawrence,Talence,Talence,44.80198,-0.5892,Private room,25,2,0,,,2,0
36667229,Joli appartement en duplex,66625626,Laurine,Bordeaux,Bordeaux Sud,44.82281,-0.56304,Entire home/apt,50,4,0,,,1,0
36682508,Joli T2 eysines proche Bordeaux et rocade,32423609,Carlota,Eysines,Eysines,44.88748,-0.64423,Entire home/apt,33,7,0,,,1,0
36684551,Appartement chaleureux proche centre historique,151759655,Nathalie,Bordeaux,Caudran,44.84728,-0.61992,Entire home/apt,60,1,6,2019-08-17,0.25,1,0
36687206,Bel appartement T3 avec grand balcon de 20m2.,275743141,Franck,Bgles,Bgles,44.81241,-0.54253,Entire home/apt,83,2,7,2020-01-03,0.30,1,219
36695132,Joli appartement calme à 15 minutes de Bordeaux,182783553,Christelle,Bruges,Bruges,44.88446,-0.62532,Entire home/apt,80,2,5,2020-08-21,0.21,1,9
36697738,Maison pleine de charme aux portes de Bordeaux,45191517,Christine,Merignac,Chemin Long,44.81822,-0.67119,Entire home/apt,220,6,8,2021-07-02,0.35,1,315
36698577,Blanquefort Maison entière neuve tout confort,275834817,Paul,Blanquefort,Blanquefort,44.90878,-0.6443,Entire home/apt,120,1,76,2021-05-20,3.17,1,75
36707892,"MAISON AU CALME, QUIET HOUSE, 20 MINUTES BORDEAUX",22436592,Olivier,Gradignan,Gradignan,44.77115,-0.59732,Entire home/apt,169,2,25,2020-09-20,1.07,1,299
36711575,T2 calme Quartier Chartrons,275930751,Marlène,Bordeaux,Bordeaux Maritime,44.86441,-0.57326,Entire home/apt,29,2,4,2019-08-30,0.17,1,0
36712440,Studio Mérignac centre avec un grand balcon,23533318,Gaëlle,Merignac,Centre ville (Merignac),44.84426,-0.66252,Entire home/apt,45,2,13,2020-02-13,0.56,1,0
36715596,Studio-loft lumineux dans immeuble en Pierre,14052763,Christo,Bordeaux,La Bastide,44.84108,-0.55143,Entire home/apt,70,4,38,2020-02-16,1.63,1,36
36719527,"maison de ville calme et spacieuse, avec jardin",8138114,Laetitia,Floirac,Floirac,44.84106,-0.53942,Entire home/apt,80,3,2,2019-08-08,0.09,1,0
36719695,Chambre spacieuse 25m2 avec canapé confort pour 2,85443226,Victoria,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82028,-0.60102,Private room,27,1,27,2019-12-28,1.14,8,347
36720453,Jolie maison avec piscine et agréable extérieur,17290898,Domitille,Bordeaux,Caudran,44.84779,-0.60841,Entire home/apt,175,2,8,2021-05-24,0.34,1,0
36723326,"Large apartment really near Bordeaux, TALENCE",126461602,Nathalie,Talence,Talence,44.8108,-0.58174,Entire home/apt,120,2,26,2019-12-14,1.11,4,0
36725740,Grand T3 typique hyper centre Bordeaux,276042758,Jean-Philippe,Bordeaux,Centre ville (Bordeaux),44.84073,-0.57163,Entire home/apt,100,2,1,2019-08-31,0.04,1,0
36728610,Chambre privée pour fille dans maison de filles,55277315,Annie,Pessac,France Alouette,44.79776,-0.6736,Private room,26,3,5,2020-08-20,0.21,3,314
36740326,Grand appartement avec Terrasse - Chartrons,20676569,Claire,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85415,-0.57319,Entire home/apt,93,2,6,2021-07-03,0.48,1,45
36742565,One bedroom apartment in residential area,45160402,Kevin,Villenave-d'Ornon,Villenave-d'Ornon,44.77032,-0.54663,Entire home/apt,60,2,0,,,1,0
36745639,T2 48m2 spacieux proche gare rénové à neuf,62009118,Charlotte,Bordeaux,Bordeaux Sud,44.82751,-0.55549,Entire home/apt,59,4,0,,,2,0
36745949,Chambre privée pour fille dans maison de filles M,55277315,Annie,Pessac,France Alouette,44.79834,-0.67225,Private room,27,2,11,2019-09-27,0.46,3,320
36752840,Maison contemporaine au calme,152994212,Nathalie Et Freddy,Saint-Aubin-de-Mdoc,Saint-Aubin-de-Mdoc,44.90858,-0.7282,Entire home/apt,255,7,2,2020-07-26,0.09,1,188
36757003,Grand F1 lumineux,276282529,Luc,Bordeaux,Bordeaux Sud,44.8282,-0.57469,Entire home/apt,50,4,5,2020-08-21,0.21,1,0
36757150,Chambre dans maison  au cœur du quartier Nansouty,93842163,Nadia,Bordeaux,Nansouty - Saint Gens,44.81869,-0.57233,Private room,42,1,70,2019-07-16,2.90,4,45
36757334,Duplex plein centre ville bordeaux,127295806,Victor,Bordeaux,Bordeaux Sud,44.82893,-0.57306,Entire home/apt,70,1,2,2019-07-21,0.08,1,0
36759271,Appart Plein centre Charmant/Spacieux/Ensoleillé,57988147,Thibault,Bordeaux,Centre ville (Bordeaux),44.84516,-0.58519,Entire home/apt,100,2,10,2020-10-25,0.43,1,0
